id,label
14277752,0
14277865,1
1428170821,1
142823069,0
14282414,1
14282674,1
14283478,0
142835169,0
142844200,1
14284723,0
14285414,1
142860446,1
1428663199,1
14286885,1
1428730740,0
142877236,0
14288313,1
1428836545,0
14288985,0
14289502,1
142905425,0
14290874,1
1429124676,1
1429209427,1
1429224510,0
14293371,0
14293438,0
142935109,1
142947354,0
14295646,0
14295993,1
1429642945,0
14296782,0
14298035,0
14299645,1
14299986,0
143027702,0
14303261,0
14305830,1
1430793907,0
143093023,1
1430940684,1
14310701,0
143109720,1
14311905,1
1431227348,1
14313489,0
14314075,1
1431438091,0
143164501,1
1431647797,1
1431651026,1
143170651,0
143171155,1
1431763818,1
143177971,0
143182952,1
143186413,0
143186656,0
14321092,0
143215102,1
14322097,0
1432216579,1
14323429,0
14324701,0
14325249,1
14325859,0
14326724,0
1432709982,0
14327734,1
14327807,1
14328173,1
14329114,1
143292101,0
1432934395,1
14330077,0
14332314,1
14332791,0
1433289318,1
143331424,0
1433356862,1
1433466776,0
14335537,0
14335586,0
1433650086,1
14336902,0
143372756,0
14339334,1
1433937787,0
1434070423,0
1434096126,0
1434123408,1
143413691,0
14342898,1
14343740,1
14343876,1
143440918,1
1434448400,1
1434665340,1
14347745,0
14349410,1
14349897,0
1435038571,1
14352430,1
1435267885,1
14353681,1
14353724,0
143553828,1
143555347,1
14357062,0
14357604,1
143616303,0
14361797,1
143618425,1
1436195516,1
143620833,0
14362345,0
1436241,0
14363619,1
143643230,1
14364511,1
14365878,0
143678658,0
14369048,1
143691508,0
14370131,1
1437168828,1
14372700,0
14373125,1
143737415,0
14375047,0
14375658,0
1437720908,1
143784020,1
143804107,0
1438042044,1
1438160226,0
1438359175,1
1438489716,0
14385944,0
143865859,1
14388258,0
14391096,1
143912756,1
143926966,1
14393497,1
143936211,0
143948644,1
143955252,0
1439570552,1
143958821,1
143961220,1
1439725495,1
14397712,1
1439888598,0
14400160,0
1440049496,1
1440163291,1
14404168,0
1440424290,1
144054572,1
144056880,0
1440876230,1
144096365,1
144101650,0
144104165,1
1441045723,1
14411020,0
14411335,0
14411860,1
14412820,0
14413110,0
1441380331,0
144148064,0
14415898,0
14415957,1
14416459,0
144173451,0
1441827266,1
144184423,0
1441845434,0
144197248,0
144206754,0
14421549,0
1442221513,1
