id,label
14277752,1
14277865,1
1428170821,1
142823069,1
14282414,1
14282674,1
14283478,1
142835169,1
142844200,1
14284723,1
14285414,1
142860446,1
1428663199,1
14286885,1
1428730740,1
142877236,1
14288313,1
1428836545,1
14288985,1
14289502,1
142905425,1
14290874,1
1429124676,1
1429209427,1
1429224510,1
14293371,1
14293438,1
142935109,1
142947354,1
14295646,1
14295993,1
1429642945,1
14296782,1
14298035,1
14299645,1
14299986,1
143027702,1
14303261,1
14305830,1
1430793907,1
143093023,1
1430940684,1
14310701,1
143109720,1
14311905,1
1431227348,1
14313489,1
14314075,1
1431438091,1
143164501,1
1431647797,1
1431651026,1
143170651,1
143171155,1
1431763818,1
143177971,1
143182952,1
143186413,1
143186656,1
14321092,1
143215102,1
14322097,1
1432216579,1
14323429,1
14324701,1
14325249,1
14325859,1
14326724,1
1432709982,1
14327734,1
14327807,1
14328173,1
14329114,1
143292101,1
1432934395,1
14330077,1
14332314,1
14332791,1
1433289318,1
143331424,1
1433356862,1
1433466776,1
14335537,1
14335586,1
1433650086,1
14336902,1
143372756,1
14339334,1
1433937787,1
1434070423,1
1434096126,1
1434123408,1
143413691,1
14342898,1
14343740,1
14343876,1
143440918,1
1434448400,1
1434665340,1
14347745,1
14349410,1
14349897,1
1435038571,1
14352430,1
1435267885,1
14353681,1
14353724,1
143553828,1
143555347,1
14357062,1
14357604,1
143616303,1
14361797,1
143618425,1
1436195516,1
143620833,1
14362345,1
1436241,1
14363619,1
143643230,1
14364511,1
14365878,1
143678658,1
14369048,1
143691508,1
14370131,1
1437168828,1
14372700,1
14373125,1
143737415,1
14375047,1
14375658,1
1437720908,1
143784020,1
143804107,1
1438042044,1
1438160226,1
1438359175,1
1438489716,1
14385944,1
143865859,1
14388258,1
14391096,1
143912756,1
143926966,1
14393497,1
143936211,1
143948644,1
143955252,1
1439570552,1
143958821,1
143961220,1
1439725495,1
14397712,1
1439888598,1
14400160,1
1440049496,1
1440163291,1
14404168,1
1440424290,1
144054572,1
144056880,1
1440876230,1
144096365,1
144101650,1
144104165,1
1441045723,1
14411020,1
14411335,1
14411860,1
14412820,0
14413110,1
1441380331,1
144148064,1
14415898,1
14415957,1
14416459,1
144173451,1
1441827266,1
144184423,1
1441845434,1
144197248,1
144206754,1
14421549,1
1442221513,1
14422584,1
14424186,1
14424214,1
14424561,1
1442489366,1
1442529284,1
1442533050,1
144261009,1
1442775720,1
1442828023,1
14429875,1
144308053,1
144317603,1
1443181236,1
144323781,1
14435237,1
14435461,1
1443748093,1
144376361,1
1443918637,1
1443924067,1
144402222,1
144404708,1
14442746,1
14445487,1
14445548,1
144461796,1
14446713,1
14446918,1
14447301,1
1444893991,1
1444969537,1
1444973108,1
144511099,1
14451783,1
14452214,1
1445282029,1
14452875,1
1445300276,1
1445428393,1
